Year,NO2 Mean,NO2 AQI,O3 Mean,O3 AQI,SO2 Mean,SO2 AQI,CO Mean,CO AQI,Population
2000,26.704984926495722,41.02735042735043,0.017815422222222207,27.08205128205128,7.503271533333325,22.494017094017092,0.6241324239316235,10.152136752136752,8017608
2001,28.52375244529262,42.67302798982188,0.017987718829516542,27.466921119592875,8.583214582697208,25.30534351145038,0.6186673740458011,9.876590330788805,8059813
2002,27.658740768202044,41.45616641901932,0.018096589895988106,30.288261515601782,7.5292467429420435,23.40118870728083,0.6148981277860325,9.444279346210996,8072000
2003,26.741022732352928,40.048529411764704,0.017406519117647054,25.60735294117647,8.020755548529422,24.144117647058824,0.7004226500000001,10.492647058823529,8068073
2004,24.56500177098152,38.018492176386914,0.017231153627311535,25.251778093883356,7.113479967283079,22.334281650071123,0.5811897994310095,8.611664295874823,8043366
2005,25.699637304414015,39.595129375951295,0.0192022587519026,28.93607305936073,7.425841508371384,22.54490106544901,0.5557617016742765,8.083713850837139,8013368
2006,24.22064176297333,38.096774193548384,0.01943481626928472,27.61711079943899,5.961813674614306,19.695652173913043,0.47911143338008383,7.228611500701263,7993906
2007,23.271936230079678,36.919322709163346,0.019391604581673296,27.39541832669323,5.597353089641437,16.79780876494024,0.509210525896414,7.4541832669322705,8013775
2008,23.10423349425286,37.11366538952746,0.01975885185185185,27.486590038314176,5.237649072796935,15.242656449553001,0.4975137688378033,7.358876117496807,8068195
2009,21.685016767407383,35.096296296296295,0.01942996148148144,25.724444444444444,4.5400444696296285,13.573333333333334,0.4018131437037036,5.9037037037037035,8131574
2010,19.71139723743016,33.435754189944134,0.023306192737430207,30.614525139664803,3.8726251592178804,11.554469273743017,0.44971173882681514,6.636871508379889,8175133
